,term,year,similar word (word2vec),similarity score (word2vec)
0,chris-chan,2010,werechu,0.7735786437988281
1,chris-chan,2010,disneyfan01,0.765172004699707
2,chris-chan,2010,darviela_maravarona,0.7637516260147095
3,chris-chan,2010,jdr,0.7584871053695679
4,chris-chan,2010,daxflame,0.7583693265914917
5,chris-chan,2010,ulillillia,0.7556564211845398
6,chris-chan,2010,brownsquirrel,0.7427905797958374
7,chris-chan,2010,darr,0.7389811873435974
8,chris-chan,2010,cigarskunk,0.7366485595703125
9,chris-chan,2010,teruchan,0.7326085567474365
